DATE,DESCRIPTION,DEBIT,CREDIT,BALANCE,CLASSIFICATION_TRANS
07-04-2024,000000000122838:,,877.89,2185.470,TRANSFER
07-04-2024,CASH CHQ,2000.00,,185.470,CASH
08-04-2024,000000000122838:,,441.76,627.227,TRANSFER
08-04-2024,000000000122838:,,41.63,668.859,TRANSFER
14-04-2024,000000000122838:,,919.86,1588.723,TRANSFER
14-04-2024,000000000122838:,,244.46,1833.180,TRANSFER
14-04-2024,000000000122838:,,733.75,2566.928,TRANSFER
15-04-2024,000000000122838:,,108.44,2675.365,TRANSFER
16-04-2024,000000000122838:,,314.47,2989.834,TRANSFER
17-04-2024,000000000122838:,,331.42,3321.252,TRANSFER
18-04-2024,000000000122838:,,319.60,3640.848,TRANSFER
21-04-2024,000000000122838:,,580.80,4221.645,TRANSFER
21-04-2024,000000000122838:,,467.74,4689.380,TRANSFER
21-04-2024,000000000122838:,,791.97,5481.353,TRANSFER
22-04-2024,000000000122838:,,264.27,5745.618,TRANSFER
23-04-2024,000000000122838:,,501.42,6247.042,TRANSFER
24-04-2024,000000000122838:,,480.60,6727.639,TRANSFER
25-04-2024,000000000122838:,,940.90,7668.541,TRANSFER
25-04-2024,CASH CHQ,5000.00,,2668.541,CASH
28-04-2024,000000000122838:,,1364.04,4032.584,TRANSFER
28-04-2024,000000000122838:,,1183.39,5215.978,TRANSFER
28-04-2024,000000000122838:,,1224.48,6440.459,TRANSFER
29-04-2024,000000000122838:,,844.84,7285.301,TRANSFER
30-04-2024,MIN BAL CHRG,0.53,,7284.776,MIN-BALANCE
30-04-2024,000000000122838:,,775.49,8060.264,TRANSFER
01-05-2024,CASH CHQ,4000.00,,4060.264,CASH
01-05-2024,000000000122838:,,527.47,4587.734,TRANSFER
01-05-2024,INW CHQ,209.00,,4378.734,CHQ
01-05-2024,CHQ,2310.00,,2068.734,CHQ
01-05-2024,CHQ,1161.00,,907.734,CHQ
02-05-2024,000000000122838:,,934.89,1842.624,TRANSFER
02-05-2024,SIMON,,400.00,2242.624,CHQ
